课程编号,学院,课程名称,班级,学分,学时,主讲教师,教室1,星期几1,节次1,周次1,教室2,星期几2,节次2,周次2,教室3,星期几3,节次3,周次3,教室4,星期几4,节次4,周次4,教室5,星期几5,节次5,周次5,教室6,星期几6,节次6,周次6,教室7,星期几7,节次7,周次7,教室8,星期几8,节次8,周次8,教室9,星期几9,节次9,周次9,教室10,星期几10,节次10,周次10,教室11,星期几11,节次11,周次11,教室12,星期几12,节次12,周次12,教室13,星期几13,节次13,周次13
011001,机械工程学院,实用科技英文写作,1班,2.0,32,唐一平,创新港校区-5-1007,2,7-8,9-16,创新港校区-5-1007,4,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012006,机械工程学院,设计心理学,1班,2.0,40,张煜,创新港校区-2-2002,4,3-6,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012007,机械工程学院,符号学设计方法研究,1班,2.0,32,杨增耀,创新港校区-2-4005,1,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012010,机械工程学院,概念设计研究（校企）,1班,2.0,32,朱爱斌,创新港校区-2-4006,2,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012016,机械工程学院,流体润滑理论,1班,2.0,40,张辉,创新港校区-2-5006,4,2-4,1-12,创新港校区-2-5006,4,3-6,13-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012019,机械工程学院,复杂机电系统的人工智能控制技术（AI进阶）,1班,2.0,32,李靖祥,创新港校区-5-2W201,6,2-4,1-10,创新港校区-5-2W201,6,2-3,11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012023,机械工程学院,电动汽车技术,1班,2.0,40,曹军义,创新港校区-2-5006,4,7-10,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012025,机械工程学院,面向制造工程的智能计算方法,1班,2.0,40,江平宇,创新港校区-2-3006,2,3-4,1-10,创新港校区-2-3006,2,7-8,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012029,机械工程学院,机械系统集散控制,1班,2.0,40,陶涛,创新港校区-2-4004,2,3-6,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012030,机械工程学院,生物制造工程,1班,2.0,32,李涤尘,创新港校区-5-1W107,3,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012030,机械工程学院,生物制造工程,2班,2.0,32,王玲,创新港校区-5-1E101,2,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012035,机械工程学院,精密测试技术与工业大数据（AI进阶）,1班,2.0,40,李兵,创新港校区-2-5001,2,5-7,1-5,创新港校区-2-5001,2,5-6,6-6,创新港校区-2-5001,2,5-7,7-7,创新港校区-2-5001,5,5-7,1-6,创新港校区-2-5001,5,5-6,7-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012049,机械工程学院,现代机械设计,1班,2.0,40,李宝童,创新港校区-5-1W107,1,2-4,5-8,创新港校区-5-1W105,1,2-4,9-13,创新港校区-5-1W105,1,2,14-14,创新港校区-5-1W107,4,2-4,1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012051,机械工程学院,监测诊断理论与技术,1班,2.0,40,赵明,创新港校区-2-5005,5,3-6,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012053,机械工程学院,现代信号处理技术及应用（AI进阶）,1班,2.0,32,訾艳阳,创新港校区-5-1E101,4,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012053,机械工程学院,现代信号处理技术及应用（AI进阶）,2班,2.0,32,陈景龙,创新港校区-5-1E101,4,9-10,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012055,机械工程学院,微纳制造技术,1班,2.0,44,蒋维涛,创新港校区-5-1W103,7,3-6,1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012055,机械工程学院,微纳制造技术,2班,2.0,44,姜维,创新港校区-5-1W103,7,7-10,1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012060,机械工程学院,现代数控技术及装备,1班,2.0,40,张东升,创新港校区-2-4001,3,3-6,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012062,机械工程学院,现代控制工程,1班,2.0,40,王朝晖,创新港校区-5-1E101,6,3-6,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012062,机械工程学院,现代控制工程,2班,2.0,40,董霞,创新港校区-5-1W103,5,7-10,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012062,机械工程学院,现代控制工程,3班,2.0,40,刘金鑫,创新港校区-5-1W107,4,7-10,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012063,机械工程学院,微机电系统,1班,2.0,40,田边,创新港校区-2-4001,2,3-6,1-5,创新港校区-2-4001,4,3-6,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012070,机械工程学院,新型微纳传感器技术,1班,2.0,40,赵玉龙,创新港校区-5-1E101,1,9-11,1-13,创新港校区-5-1E101,1,9,14-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012182,机械工程学院,CAD原理及软件应用,1班,2.0,32,王硕,创新港校区-2-4005,6,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012183,机械工程学院,有限元方法及CAE软件应用（ANSYS等）,1班,2.0,40,刘恒,创新港校区-2-3005,2,5-7,1-2,创新港校区-2-3005,2,5-6,3-9,创新港校区-2-3005,6,3-6,10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012184,机械工程学院,现代模具设计及制造（校企）,1班,2.0,40,苏文斌,创新港校区-2-3001,6,2-4,1-12,创新港校区-2-3001,6,3-6,13-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012187,机械工程学院,工程摩擦学,1班,2.0,40,董光能,创新港校区-2-3001,7,3-6,1-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012189,机械工程学院,Finite Element Analysis and Application,1班,2.0,40,孙瑜,创新港校区-2-3002,3,3-6,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012196,机械工程学院,Modern Control Engineering,1班,2.0,40,董霞,创新港校区-2-3006,4,7-10,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012197,机械工程学院,Theory of Vibration,1班,2.0,40,吴九汇,创新港校区-2-3002,1,7-10,1-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012199,机械工程学院,Fault Diagnosis for Machinery,1班,2.0,40,雷亚国,创新港校区-2-3002,2,5-7,1-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012200,机械工程学院,MicroNano Manufacturing Technologies,1班,2.0,32,陈小明,创新港校区-2-3002,5,3-6,6-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012201,机械工程学院,Engineering Tribology,1班,2.0,32,曾群锋,创新港校区-2-3003,6,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012202,机械工程学院,Numerical Control Equipment Technologies,1班,2.0,40,姜歌东,创新港校区-2-3005,5,3-6,7-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012212,机械工程学院,激光加工技术进展,1班,2.0,32,王文君,创新港校区-2-5005,3,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012213,机械工程学院,人机交互先进技术,1班,2.0,32,李晓玲,创新港校区-2-2002,5,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012215,机械工程学院,柔性电子器件与制造,1班,2.0,40,邵金友,创新港校区-3-6001,6,3-6,7-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012215,机械工程学院,柔性电子器件与制造,2班,2.0,40,陈小亮,创新港校区-2-5001,6,3-6,7-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012216,机械工程学院,数控机床设计与加工工艺（校企）,1班,2.0,32,张俊,创新港校区-5-1E101,4,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012219,机械工程学院,创新设计与增材制造（校企）,1班,2.0,32,张琦,创新港校区-5-1E103,6,2-4,6-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013705,机械工程学院,electroactive polymer materials and structures properties and applications,1班,2.0,32,朱子才,创新港校区-2-3002,4,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013706,机械工程学院,增材制造技术,1班,2.0,32,魏正英,创新港校区-5-1W107,5,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013710,机械工程学院,航空发动机运行性能监测与评估（校企）,1班,2.0,32,王诗彬,创新港校区-5-2W201,1,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013722,机械工程学院,机床主轴设计及特性分析（校企）,1班,2.0,32,朱永生,创新港校区-2-4003,6,5-7,9-13,创新港校区-2-4003,6,5-6,14-14,创新港校区-2-4003,7,5-7,9-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013735,机械工程学院,Advanced plastic forming technology,1班,2.0,32,娄燕山,创新港校区-2-3003,3,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013736,机械工程学院,Foundation and Applications of Biomimetic Engineering,1班,2.0,32,朱卉,创新港校区-2-3003,2,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013740,机械工程学院,电化学加工原理与技术,1班,2.0,32,孙孝飞,创新港校区-2-2006,6,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013742,机械工程学院,脑机接口与康复应用,1班,2.0,32,徐光华,创新港校区-5-7107,5,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013743,机械工程学院,传热学理论及工程应用分析,1班,2.0,32,徐亮,创新港校区-2-5005,6,2-4,1-10,创新港校区-2-5005,6,2-3,11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013745,机械工程学院,工程光学基础,1班,2.0,40,黄军辉,创新港校区-2-4002,2,3-6,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013747,机械工程学院,结构功能材料的设计与制造,1班,2.0,32,蒋维涛,创新港校区-2-5006,6,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013748,机械工程学院,金属材料宏微观力学行为,1班,2.0,32,张琦,创新港校区-3-6001,5,2-5,2-2,创新港校区-3-6001,5,3-6,1-1,创新港校区-3-6001,5,3-6,3-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013754,机械工程学院,Fundamentals of Mechanical Surface Engineering,1班,2.0,32,秦立果,创新港校区-2-3001,3,3-4,1-8,创新港校区-2-3001,3,9-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013758,机械工程学院,智能制造（校企）,1班,3.0,48,徐俊,创新港校区-2-3005,2,2-7,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013762,机械工程学院,柔性航天器原理及智能制造技术（校企）,1班,2.0,32,王晨希,创新港校区-5-3107,2,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013764,机械工程学院,微纳传感器封装与测试（校企）（实践）,1班,2.0,32,罗国希,创新港校区-5-4106,5,7-10,10-13,创新港校区-5-4106,7,3-6,10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013765,机械工程学院,智能传感芯片技术及应用（实践）,1班,2.0,32,田边,创新港校区-2-3006,6,3-6,6-9,创新港校区-2-3006,7,3-6,6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013767,机械工程学院,创新复合材料设计与制造（实践）,1班,2.0,32,王奔,创新港校区-2-5006,5,7-10,1-3,创新港校区-2-5006,5,7-8,4-5,创新港校区-2-5006,5,7-10,6-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013771,机械工程学院,润滑理论及其应用,1班,2.0,32,张辉,创新港校区-2-3001,5,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013772,机械工程学院,人工智能赋能金属增材制造监/检测,1班,1.0,20,张志芬,创新港校区-2-3003,1,5-6,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013773,机械工程学院,金属塑性成形中的摩擦原理及应用,1班,2.0,32,张大伟,创新港校区-2-5004,2,3-6,1-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013774,机械工程学院,仿生机器人创新设计（采集式学习）,1班,2.0,32,朱爱斌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021001,材料科学与工程学院,工程伦理（四）,1班,2.0,32,何成,创新港校区-5-1E101,3,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021001,材料科学与工程学院,工程伦理（四）,2班,2.0,32,袁泓晔,创新港校区-5-1E101,2,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022001,材料科学与工程学院,固体物理学,1班,2.0,32,马飞,创新港校区-3-5009,2,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022003,材料科学与工程学院,纳米材料导论,1班,2.0,32,方吉祥,创新港校区-18-2065,3,3-4,9-16,创新港校区-18-2065,3,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022004,材料科学与工程学院,新型功能材料,1班,2.0,32,周超,创新港校区-4-2222,5,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022008,材料科学与工程学院,表面分析与薄膜,1班,2.0,32,朱晓东,创新港校区-3-6003,3,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022009,材料科学与工程学院,纳米陶瓷材料,1班,2.0,32,史忠旗,创新港校区-3-4001,5,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022011,材料科学与工程学院,生物医用材料,1班,2.0,32,郭大刚,创新港校区-3-6003,4,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022013,材料科学与工程学院,陶瓷材料力学性能,1班,2.0,32,夏鸿雁,创新港校区-3-6003,2,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022014,材料科学与工程学院,先进复合材料,1班,2.0,32,李博,创新港校区-3-6003,4,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022018,材料科学与工程学院,金属材料磨损,1班,2.0,32,皇志富,创新港校区-3-2005,2,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022019,材料科学与工程学院,材料成形传输原理,1班,2.0,32,马胜强,创新港校区-3-5009,2,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022020,材料科学与工程学院,材料累加成形与应用,1班,2.0,32,李长久,创新港校区-3-4009,4,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022027,材料科学与工程学院,材料科学进展（实践）,1班,2.0,32,刘峰,创新港校区-5-2W201,1,1-2,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022027,材料科学与工程学院,材料科学进展（实践）,2班,2.0,32,刘峰,兴庆校区-主楼B-202,5,1-2,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022032,材料科学与工程学院,新能源材料,1班,2.0,32,李成新,创新港校区-3-5009,3,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022036,材料科学与工程学院,材料热处理及其应用,1班,2.0,32,王继平,创新港校区-3-4005,3,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022037,材料科学与工程学院,先进材料理论与计算导论,1班,2.0,32,邓俊楷,创新港校区-3-6003,2,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022049,材料科学与工程学院,Solid State Physics,1班,2.0,32,周健,创新港校区-3-5009,2,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022050,材料科学与工程学院,Frontiers of Materials Science,1班,2.0,32,王疆靖,创新港校区-3-5009,5,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022056,材料科学与工程学院,焊接结构设计与制造,1班,2.0,32,张林杰,创新港校区-3-5009,5,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022057,材料科学与工程学院,先进电子材料,1班,2.0,32,郭志新,创新港校区-3-4009,3,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022060,材料科学与工程学院,材料热力学,1班,2.0,32,解德刚,创新港校区-3-3003,4,1-2,1-8,创新港校区-3-3003,5,3-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022061,材料科学与工程学院,现代材料分析技术,1班,2.0,32,陈凯,兴庆校区-中2-2240,3,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022063,材料科学与工程学院,陶瓷先进制备工艺,1班,2.0,32,杨建锋,创新港校区-3-6001,1,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022064,材料科学与工程学院,先进材料焊接学,1班,2.0,32,张林杰,创新港校区-3-6003,4,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023002,材料科学与工程学院,铸造有色合金及其熔炼,1班,2.0,32,刘志伟,创新港校区-3-6003,5,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023020,材料科学与工程学院,材料失效分析（校企）（实践）,1班,2.0,32,杨冠军,创新港校区-5-1W107,5,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023021,材料科学与工程学院,石油管材及装备材料（校企）（实践）,1班,2.0,32,杨冠军,创新港校区-5-4045,5,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023027,材料科学与工程学院,先进结构陶瓷及其复合材料,1班,2.0,32,王红洁,创新港校区-3-6003,5,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023028,材料科学与工程学院,功能有机材料的谱学分析方法（实践）,1班,2.0,32,王国隆,创新港校区-3-3007,5,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023032,材料科学与工程学院,材料传热学基础与应用,1班,2.0,32,李长久,创新港校区-3-6001,4,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031001,能源与动力工程学院,高等流体力学,1班,3.0,60,李国君,创新港校区-5-1E101,1,2-4,1-10,创新港校区-5-1E101,4,2-4,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031001,能源与动力工程学院,高等流体力学,2班,3.0,60,李国君,兴庆校区-中3-2330,1,2-4,7-16,兴庆校区-中3-2330,4,2-4,7-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031002,能源与动力工程学院,Numerical Heat Transfer,1班,3.0,60,陶文铨,创新港校区-5-2W201,1,5-6,1-16,创新港校区-5-2W201,2,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031202,能源与动力工程学院,国际视野及胜任力培养,1班,1.0,16,徐东海,创新港校区-1-3057,5,3-6,1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032005,能源与动力工程学院,核辐射成像技术,1班,2.0,40,胡华四,创新港校区-1-3065,5,7-10,9-16,创新港校区-1-3061,6,7-10,13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032007,能源与动力工程学院,中子输运理论与数值方法,1班,2.0,40,郑友琦,创新港校区-1-4059,1,5-6,9-16,创新港校区-1-4059,3,7-8,9-16,创新港校区-1-4059,6,3-4,16-16,创新港校区-1-4059,6,7-8,16-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032012,能源与动力工程学院,流体力学的近代进展,1班,2.0,40,席光,创新港校区-5-7107,5,3-6,1-8,创新港校区-5-7043,5,3-6,9-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032016,能源与动力工程学院,叶轮机械气动热力学,1班,2.0,40,李亮,创新港校区-1-3056,5,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032020,能源与动力工程学院,核电厂概率安全评价,1班,2.0,40,葛莉,创新港校区-1-2051,6,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032021,能源与动力工程学院,高等核反应堆物理（I）（实践）,1班,2.0,40,李云召,创新港校区-1-4052,4,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032030,能源与动力工程学院,Numerical Analysis of Thermal Hydraulic in Nuclear Reactor（P）,1班,2.0,40,秋穗正,创新港校区-5-1005,4,3-6,1-8,创新港校区-5-1005,6,1-2,7-7,创新港校区-5-1005,6,5-6,7-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032040,能源与动力工程学院,张量分析及其工程应用,1班,2.0,40,琚亚平,创新港校区-1-3057,3,7-10,9-16,创新港校区-1-3057,6,3-6,14-14,创新港校区-1-3057,7,3-6,14-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032045,能源与动力工程学院,非线性动力系统的稳定性、分岔及其数值分析,1班,2.0,40,张家忠,创新港校区-1-2051,1,7-8,9-14,创新港校区-1-2051,4,7-10,9-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032049,能源与动力工程学院,多相流动力学,1班,2.0,40,郭烈锦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032050,能源与动力工程学院,Energy Conservation and Environment Protection,1班,2.0,32,刘朝晖,创新港校区-1-3065,3,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032051,能源与动力工程学院,两相流数值模拟,1班,2.0,40,李会雄,创新港校区-5-5107,3,9-10,9-16,创新港校区-5-5107,4,5-6,9-16,创新港校区-5-5107,7,9-10,9-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032051,能源与动力工程学院,两相流数值模拟,2班,2.0,40,李会雄,兴庆校区-中3-2337,5,3-4,9-16,兴庆校区-中3-2337,5,9-10,9-16,兴庆校区-中3-2337,6,9-10,9-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032054,能源与动力工程学院,气固两相流及其燃烧（实践）,1班,2.0,40,周屈兰,创新港校区-1-3065,4,2-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032056,能源与动力工程学院,洁净煤技术近代进展（实践）,1班,2.0,40,牛艳青,创新港校区-1-3063,3,7-10,9-16,创新港校区-1-3063,6,3-6,15-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032057,能源与动力工程学院,多相流及其进展（实践）,1班,2.0,40,车得福,创新港校区-5-3107,4,7-10,1-8,创新港校区-5-3107,6,5-10,8-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032057,能源与动力工程学院,多相流及其进展（实践）,2班,2.0,40,车得福,兴庆校区-中3-2329,2,3-6,1-8,兴庆校区-中3-2329,7,3-10,8-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032060,能源与动力工程学院,多联产技术及其进展,1班,2.0,40,王进仕,创新港校区-5-3107,5,3-6,1-5,创新港校区-5-3107,7,3-6,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032060,能源与动力工程学院,多联产技术及其进展,2班,2.0,40,陈伟雄,兴庆校区-中3-2315,5,3-6,1-4,兴庆校区-中3-2315,6,3-6,1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032061,能源与动力工程学院,火电厂运行诊断,1班,2.0,40,刘继平,创新港校区-1-3063,6,2-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032062,能源与动力工程学院,低温系统及其设备的工作过程,1班,2.0,40,陈双涛,创新港校区-1-2052,1,7-10,9-16,创新港校区-1-2052,6,3-6,15-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
